,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,WindSpeed,Date,Country
347,rundu,-17.91,19.77,46,18.9,0,1.76,1540095576,NA
348,sao joao da barra,-21.64,-41.05,100,21.7,92,6.51,1540095576,BR
349,moree,-29.46,149.84,76,24.43,32,2.86,1540095576,AU
350,herat,34.35,62.22,67,3.05,0,1.16,1540095576,AF
351,tianjin,39.12,117.2,44,16.0,68,1.0,1540092600,CN
352,iskateley,67.68,53.15,93,-7.3,8,2.26,1540095576,RU
353,la quinta,33.68,-116.3,49,27.0,20,1.5,1540094160,US
354,charters towers,-20.07,146.27,66,30.4,0,2.66,1540095577,AU
355,yangshe,31.89,120.61,65,21.93,12,4.36,1540095577,CN
356,havelock,34.88,-76.9,100,20.0,20,4.1,1540094160,US
357,chimbote,-9.08,-78.59,98,15.05,24,2.86,1540095577,PE
358,kulhudhuffushi,6.62,73.07,100,28.13,92,1.31,1540095577,MV
359,mount isa,-20.73,139.49,11,35.0,0,2.6,1540094400,AU
360,puerto suarez,-18.96,-57.8,85,24.93,48,0.96,1540095578,BO
361,itamaraca,-7.75,-34.83,74,26.0,20,2.1,1540094400,BR
362,pangoa,-12.12,-73.0,98,20.03,68,0.76,1540095578,PE
363,jinxiang,35.07,116.31,59,19.5,56,2.96,1540095578,CN
364,allapalli,19.43,80.06,72,27.5,0,2.06,1540095578,IN
365,boyolangu,-8.09,111.9,48,31.4,12,2.11,1540095579,ID
366,kodiak,39.95,-94.76,69,3.0,1,2.1,1540093980,US
367,yuncheng,35.03,111.0,94,10.1,92,1.66,1540095579,CN
368,warrnambool,-38.38,142.48,87,15.7,24,2.66,1540095579,AU
369,aykhal,65.95,111.51,86,-2.2,12,3.26,1540095579,RU
370,freeport,26.54,-78.7,100,27.45,20,0.16,1540095580,BS
371,tuatapere,-46.13,167.69,68,17.3,8,3.41,1540095580,NZ
372,muisne,0.61,-80.02,86,22.3,88,3.01,1540095580,EC
373,conde,-11.81,-37.61,94,24.93,92,3.76,1540095580,BR
374,egvekinot,66.32,-179.17,81,-6.9,48,1.21,1540095580,RU
375,fuxin,42.02,121.65,29,17.78,0,4.56,1540095580,CN
376,abu samrah,35.3,37.18,92,12.63,24,1.31,1540095581,SY
377,ust-maya,60.42,134.54,65,-4.25,68,1.66,1540095581,RU
378,orotukan,62.26,151.67,97,-10.65,88,1.61,1540095581,RU
379,akranes,64.32,-22.07,60,5.0,75,17.0,1540092600,IS
380,dingle,11.0,122.67,78,29.5,20,4.66,1540095581,PH
